sku,cat,brand,model,model_no,variant,color,color_hex,cost_cny,kg,moq,source_platform,source_url,supplier,cost_verified,blurb_so,image,price_usd,moq_unit,specs,captured,search
GRS-SOL-20011,SOL,GLGW,3kw 3.6kw 5kw 5.5kw Hybrid Solar Power Inverter 48V Battery Compatible 120V,GLGW-iXCEED 3 3.6 5 5.5K-S120,Standard,—,,1944.0,7.2,1,mic,https://glgwenergy.en.made-in-china.com/product/JPHrIUXuVThl/China-OEM-3kw-3-6kw-5kw-5-5kw-Hybrid-Solar-Power-Inverter-48V-Battery-Compatible-120V-AC-Output-for-Home-Solar-System.html,"Ningbo GLGW New Energy Co., Ltd",check,Inverter hybrid ah oo guri dhexdhexaad ah ku filan.,https://image.made-in-china.com/2f0j00YGhjeIyArrcC/OEM-3kw-3-6kw-5kw-5-5kw-Hybrid-Solar-Power-Inverter-48V-Battery-Compatible-120V-AC-Output-for-Home-Solar-System.webp,205.0-270.0,piece,"Nature of Source Flow: Active Inverter | Phase: Single | Output Power: 3000W, 3600W, 5000W, 5500W | Certification: SAA, CE, ROHS, ISO9001, CCC | Brand: Glgw | Type: DC/AC Inverters",2026-09-20,Hybrid Solar Inverter 3kw
GRS-SOL-20012,SOL,Generic,High Voltage 500VDC Hybrid Solar Inverter 3kw/5kw with 80A MPPT Charger,JjvxpIDdnYkO,Standard,—,,2016.0,9.5,10,mic,https://upsenpower.en.made-in-china.com/product/JjvxpIDdnYkO/China-High-Voltage-500VDC-Hybrid-Solar-Inverter-3kw-5kw-with-80A-MPPT-Charger-Controller-Compatible-with-Gel-Li-ion-LiFePO4-Batteries-for-off-Grid-Solar-Power-System.html,"Shenzhen UPSEN Electronic Co., Ltd.",check,Inverter hybrid ah oo guri dhexdhexaad ah ku filan.,https://image.made-in-china.com/2f0j00kqocgsfEhmbQ/High-Voltage-500VDC-Hybrid-Solar-Inverter-3kw-5kw-with-80A-MPPT-Charger-Controller-Compatible-with-Gel-Li-ion-LiFePO4-Batteries-for-off-Grid-Solar-Power-System.webp,200.0-280.0,pieces,,2026-09-20,Hybrid Solar Inverter 3kw
GRS-SOL-20013,SOL,Generic,Gsl Energy 10 Years Warranty 48V 100ah 200ah 400ah 5kwh 10 Kw 20kwh Powerwall,WZtABbISroku,Standard,—,,3960.0,48,1,mic,https://powerwall.en.made-in-china.com/product/WZtABbISroku/China-Gsl-Energy-10-Years-Warranty-48V-100ah-200ah-400ah-5kwh-10-Kw-20kwh-Powerwall-Lithium-Battery-for-Solar-Energy-System.html,"Shenzhen GSL Energy Co., Ltd.",check,Batari lithium (LiFePO4) oo cimri dheer — solar iyo koronto kaydin.,https://image.made-in-china.com/2f0j00kDvBJNYdGWbq/Gsl-Energy-10-Years-Warranty-48V-100ah-200ah-400ah-5kwh-10-Kw-20kwh-Powerwall-Lithium-Battery-for-Solar-Energy-System.webp,522.5-550.0,pieces,,2026-09-20,Lithium Battery 48V 100Ah
GRS-SOL-20014,SOL,Generic,Gsl Energy Home System Catl Cell LiFePO4 Solar Pylontech Rack-Mounted Lithium,kZJaxcUvJDVY,Standard,—,,3792.02,48,1,mic,https://powerwall.en.made-in-china.com/product/kZJaxcUvJDVY/China-Gsl-Energy-Home-System-Catl-Cell-LiFePO4-Solar-Pylontech-Rack-Mounted-Lithium-Ion-Phosphate-Battery-3u-48V-100ah-5kwh-Lithium-Battery.html,"Shenzhen GSL Energy Co., Ltd.",check,Batari lithium (LiFePO4) oo cimri dheer — solar iyo koronto kaydin.,https://image.made-in-china.com/2f0j00QMFWfuebbOoE/Gsl-Energy-Home-System-Catl-Cell-LiFePO4-Solar-Pylontech-Rack-Mounted-Lithium-Ion-Phosphate-Battery-3u-48V-100ah-5kwh-Lithium-Battery.webp,505.6-526.67,pieces,,2026-09-20,Lithium Battery 48V 100Ah
GRS-SOL-20015,SOL,Koyosonic,Grade a Lithium Battery 48V 100ah LiFePO4 5kw for Solar Power,PW100-48B,Standard,—,,4034.3,48.0,2,mic,https://koyosonic.en.made-in-china.com/product/iOkGyzdunbrx/China-Grade-a-Lithium-Battery-48V-100ah-LiFePO4-5kw-for-Solar-Power.html,"Koyosonic Power Co., Ltd.",check,Batari lithium (LiFePO4) oo cimri dheer — solar iyo koronto kaydin.,https://image.made-in-china.com/2f0j00cOLlAIJrwmfv/Grade-a-Lithium-Battery-48V-100ah-LiFePO4-5kw-for-Solar-Power.webp,467.76-560.32,pieces,"Rechargeable: Chargeable | Size: Medium | Usage: UPS, Lighting, Boat, Solar, Motive, PV and So on | Nominal Voltage: 48V | Discharge Rate: Low Discharge Rate | Shape: Flat Battery",2026-09-20,Lithium Battery 48V 100Ah
GRS-SOL-20016,SOL,Sunstone Power,48V 100ah Lithium Solar Battery for The Solar Storage System,SLPO48-100,Standard,—,,4428.0,102.0,6,mic,https://deepcyclebattery.en.made-in-china.com/product/oNQxYgOPbZVT/China-48V-100ah-Lithium-Solar-Battery-for-The-Solar-Storage-System.html,"Solid Power Industrial (Shenzhen) Co., Ltd.",check,Batari lithium (LiFePO4) oo cimri dheer — solar iyo koronto kaydin.,https://image.made-in-china.com/2f0j00aqJeUGYCafbk/48V-100ah-Lithium-Solar-Battery-for-The-Solar-Storage-System.webp,560.0-615.0,pieces,"Rechargeable: Yes | Size: Medium | Application: Solar System | Battery: Battery for Solar System | Place of Origin: Shenzhen, China | Weight: 42kg",2026-09-20,Lithium Battery 48V 100Ah
GRS-SOL-20017,SOL,BR SOLAR,48V LiFePO4 100ah 2.4kwh 4.8kwh 9.6kwh Solar System Lithium Battery,BR-LFP48100 Lithium Battery,Standard,—,,4392.0,9.1,1,mic,https://assolar.en.made-in-china.com/product/hdBTWxVChGag/China-48V-LiFePO4-100ah-2-4kwh-4-8kwh-9-6kwh-Solar-System-Lithium-Battery.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,Batari lithium (LiFePO4) oo cimri dheer — solar iyo koronto kaydin.,https://image.made-in-china.com/2f0j00RotCPBHKJQbD/48V-LiFePO4-100ah-2-4kwh-4-8kwh-9-6kwh-Solar-System-Lithium-Battery.webp,490.0-610.0,piece,Rechargeable: Yes | Size: Medium | Model No.: LFP-48100 | Installation: Fixed | Battery Size: 453*433*177mm | Warranty: 10 Years,2026-09-20,Lithium Battery 48V 100Ah
GRS-SOL-20018,SOL,Generic,LiFePO4 12V 100ah BMS Bank Lithium Ion Solar Battery,yCTJpYVFZOkE,Standard,—,,1296.0,10.0,27,mic,https://deepcyclebattery.en.made-in-china.com/product/yCTJpYVFZOkE/China-LiFePO4-12V-100ah-BMS-Bank-Lithium-Ion-Solar-Battery.html,"Solid Power Industrial (Shenzhen) Co., Ltd.",check,"Batari lithium 12V — nal solar, tv iyo qalab yar.",https://image.made-in-china.com/2f0j00dSTBKnEGrMbD/LiFePO4-12V-100ah-BMS-Bank-Lithium-Ion-Solar-Battery.webp,160.0-180.0,pieces,,2026-09-20,Lithium Battery 12V 100Ah
GRS-SOL-20019,SOL,EverExceed,Solar Rechargeable Lithium Battery 12V 100ah Deep Cycle LiFePO4 Battery Pack,LDP-12100,Standard,—,,2304.0,13.5,1,mic,https://everexceed.en.made-in-china.com/product/VsjEBkFDwcWh/China-Solar-Rechargeable-Lithium-Battery-12V-100ah-Deep-Cycle-LiFePO4-Battery-Pack-for-Lead-Acid-Battery-Replacement.html,"Shenzhen Everexceed Industrial Co., Ltd.",check,"Batari lithium 12V — nal solar, tv iyo qalab yar.",https://image.made-in-china.com/2f0j00gfuvTyAthqoB/Solar-Rechargeable-Lithium-Battery-12V-100ah-Deep-Cycle-LiFePO4-Battery-Pack-for-Lead-Acid-Battery-Replacement.webp,300.0-320.0,piece,"Rechargeable: Yes | Size: Medium, Small | Certificates: UL/ CE/ IEC/ Un38.3 | Design Life: 12 Years | Battery Size: 328X172X220mm | Battery Voltage: 12V",2026-09-20,Lithium Battery 12V 100Ah
GRS-SOL-20020,SOL,Generic,12V/24V 100ah/200ah Lithium Iron Battery Battery Pack Rechargeable Lithium,amgprJFxBMYU,Standard,—,,1231.2,13.0,5,mic,https://enerbyte2016.en.made-in-china.com/product/amgprJFxBMYU/China-12V-24V-100ah-200ah-Lithium-Iron-Battery-Battery-Pack-Rechargeable-Lithium-Ion-Batteries-for-Car-Backup-Lithium-Battery-LiFePO4-Battery-Lithium-Ion-Battery.html,"TIANJIN ENERBYTE ELECTRONICS CO., LTD.",check,"Batari lithium 12V — nal solar, tv iyo qalab yar.",https://image.made-in-china.com/2f0j00NtUMRWiqafzn/12V-24V-100ah-200ah-Lithium-Iron-Battery-Battery-Pack-Rechargeable-Lithium-Ion-Batteries-for-Car-Backup-Lithium-Battery-LiFePO4-Battery-Lithium-Ion-Battery.webp,137.0-171.0,pieces,,2026-09-20,Lithium Battery 12V 100Ah
GRS-SOL-20021,SOL,Generic,12V 50ah 100ah 150ah 200ah250ah Gel Storage Lithium Ion LiFePO4 Starter Home,UXzJlxhVHNWc,Standard,—,,644.4,37.0,10,mic,https://light1978.en.made-in-china.com/product/UXzJlxhVHNWc/China-12V-50ah-100ah-150ah-200ah250ah-Gel-Storage-Lithium-Ion-LiFePO4-Starter-Home-Portable-Battery-for-Solar-System-Street-Lights-Power-Storage.html,"Yangzhou Bright Solar Solutions Co., Ltd.",check,"Batari lithium 12V — nal solar, tv iyo qalab yar.",https://image.made-in-china.com/2f0j00lMDYeGqRbFoc/12V-50ah-100ah-150ah-200ah250ah-Gel-Storage-Lithium-Ion-LiFePO4-Starter-Home-Portable-Battery-for-Solar-System-Street-Lights-Power-Storage.webp,85.0-89.5,pieces,,2026-09-20,Lithium Battery 12V 100Ah
GRS-SOL-20022,SOL,Koyosonic,24V Lithium Battery Cell 12V 48V50ah 100ah 200ah 300ah LiFePO4 Battery for,LFP100-12,Standard,—,,1285.2,15.0,30,mic,https://koyosonic.en.made-in-china.com/product/ZwjTHlPMMkWD/China-24V-Lithium-Battery-Cell-12V-48V50ah-100ah-200ah-300ah-LiFePO4-Battery-for-Boat-Solar-RV-PV.html,"Koyosonic Power Co., Ltd.",check,"Batari lithium 12V — nal solar, tv iyo qalab yar.",https://image.made-in-china.com/2f0j00NlfbABtDZnuR/24V-Lithium-Battery-Cell-12V-48V50ah-100ah-200ah-300ah-LiFePO4-Battery-for-Boat-Solar-RV-PV.webp,160.1-178.5,pieces,"Rechargeable: Yes | Size: Medium | Warranty: 5 Years | Usage: UPS, Electric Power, Lighting, Boat | Nominal Voltage: 12V | Discharge Rate: Low Discharge Rate",2026-09-20,Lithium Battery 12V 100Ah
GRS-SOL-20023,SOL,FORIDO,IP65 Chrome-Plating Forido Wooden Box 1020mm*1000mm*1000mm LED Street Lamp,zp20240605-1,Standard,—,,2016.0,8,20,mic,https://forido.en.made-in-china.com/product/cTmpwVxJVPWk/China-IP65-Chrome-Plating-Forido-Wooden-Box-1020mm-1000mm-1000mm-LED-Street-Lamp-Light.html,"Yangzhou Forido Photoelectric Technology Co., Ltd.",check,"Nal waddo solar ah — iftiin habeenkii, koronto la'aan.",https://image.made-in-china.com/2f0j00QAfbKYLyAHoS/IP65-Chrome-Plating-Forido-Wooden-Box-1020mm-1000mm-1000mm-LED-Street-Lamp-Light.webp,175.0-280.0,pieces,"Light Source: LED Lamp | Lamp Body Material: Aluminum Alloy | Light Type: Solar | Color Temperature: Cool White | Power: 30W 40W 50W 60W 80W 100W 120W All in One Light, ≥30W | Technics: Chrome-Plating, Painted Matte",2026-09-20,Solar Street Light
GRS-SOL-20024,SOL,Generic,IP67 High Power 60 Watt Solar LED Street Light 4G CCTV,MymQVYwCXncH,Standard,—,,1332.0,150.0,10,mic,https://jsshixin.en.made-in-china.com/product/MymQVYwCXncH/China-IP67-High-Power-60-Watt-Solar-LED-Street-Light-4G-CCTV.html,"Jiangsu Shixin Electric Group Co., Ltd.",check,"Nal waddo solar ah — iftiin habeenkii, koronto la'aan.",https://image.made-in-china.com/2f0j00iBoCfDzJrrqA/IP67-High-Power-60-Watt-Solar-LED-Street-Light-4G-CCTV.webp,86.0-185.0,pieces,,2026-09-20,Solar Street Light
GRS-SOL-20025,SOL,Generic,Outdoor IP65 Commercial Solar Street Light 3000lm,yFenofKOpIVw,Standard,—,,1080.0,8,10,mic,https://ellinslight.en.made-in-china.com/product/yFenofKOpIVw/China-Outdoor-IP65-Commercial-Solar-Street-Light-3000lm.html,"Ellins Optoelectronics Co., Limited",check,"Nal waddo solar ah — iftiin habeenkii, koronto la'aan.",https://image.made-in-china.com/2f0j00hvnbDUHdAokT/Outdoor-IP65-Commercial-Solar-Street-Light-3000lm.webp,100.0-150.0,pieces,,2026-09-20,Solar Street Light
GRS-SOL-20026,SOL,HUATAI,Zeus High Conversion Rate 60 Watt All-in-One Black LED Solar Street Light,street light,Standard,—,,432.0,32.0,10,mic,https://htlighting.en.made-in-china.com/product/zFXaDwZjwhtc/China-Zeus-High-Conversion-Rate-60-Watt-All-in-One-Black-LED-Solar-Street-Light.html,"Yangzhou Huatai Lighting Group Co., Ltd",check,"Nal waddo solar ah — iftiin habeenkii, koronto la'aan.",https://image.made-in-china.com/2f0j00vsalQYKRqIUo/Zeus-High-Conversion-Rate-60-Watt-All-in-One-Black-LED-Solar-Street-Light.webp,56.0-60.0,pieces,Light Source: LED Lamp | Lamp Body Material: Aluminum Alloy | Light Type: Solar | Color Temperature: Cool White | Power: ≥30W | Technics: Aluminum Alloy,2026-09-20,Solar Street Light
GRS-SOL-20027,SOL,AS SOLAR,Best Choice for Home Use Solar Home System Solar Lighting System,AS-5W-4400mah,Standard,—,,237.6,6,1,mic,https://assolar.en.made-in-china.com/product/KCIxMBNuELcT/China-Best-Choice-for-Home-Use-Solar-Home-System-Solar-Lighting-System.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,"Nidaam iftiin solar ah oo guri — nalal, dallac taleefan.",https://image.made-in-china.com/2f0j00uBPEeWHIAdiJ/Best-Choice-for-Home-Use-Solar-Home-System-Solar-Lighting-System.webp,29.0-33.0,pieces,"Condition: New | Certification: ISO, CE, RoHS Soncap Pvoc Coc Saso FCC | Application: Home, Industrial, Commercial | Output Voltage (V): AC 220V | Solar Panel (W): 5W (9V) | Battery(Ah): DC 12V4400mAh",2026-09-20,Solar Home Lighting System
GRS-SOL-20028,SOL,AS SOLAR,Lithium Battery Solar Home System Solar Lighting System for Home Use,AS-5W-4400mah,Standard,—,,237.6,6,1,mic,https://assolar.en.made-in-china.com/product/bNiJoeyDfucP/China-Lithium-Battery-Solar-Home-System-Solar-Lighting-System-for-Home-Use.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,"Nidaam iftiin solar ah oo guri — nalal, dallac taleefan.",https://image.made-in-china.com/2f0j00ICDaBTLArmid/Lithium-Battery-Solar-Home-System-Solar-Lighting-System-for-Home-Use.webp,29.0-33.0,pieces,"Application: Home, Industrial, Commercial | Output Voltage (V): AC 220V | Solar Panel (W): 5W (9V) | Battery(Ah): DC 12V4400mAh | Bulbs: 4PCS DC12V | Warranty: 3 Years",2026-09-20,Solar Home Lighting System
GRS-SOL-20029,SOL,AS SOLAR,2000W Solar Lighting System for Home Use,AS-1500W,Standard,—,,921.6,15.0,100,mic,https://assolar.en.made-in-china.com/product/ENMmaAsVORhL/China-High-Quality-2000W-Solar-Lighting-System-for-Home-Use-Factory.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,"Nidaam iftiin solar ah oo guri — nalal, dallac taleefan.",https://image.made-in-china.com/2f0j00VeDainIcCmht/High-Quality-2000W-Solar-Lighting-System-for-Home-Use-Factory.webp,126.0-128.0,pieces,"Application: Home, Industrial, Commercial | Output Voltage (V): AC 220V | Solar Panel (W): 200W (18V) | Battery(Ah): DC 12V18ah | Bulbs: 4PCS DC12V 3W | Warranty: 3 Years",2026-09-20,Solar Home Lighting System
GRS-SOL-20030,SOL,Generic,500W Home Lighting Panel Home System Solar Power System,tygnxuFlqPcQ,Standard,—,,2376.0,9.55,1,mic,https://assolar.en.made-in-china.com/product/tygnxuFlqPcQ/China-500W-Home-Lighting-Panel-Home-System-Solar-Power-System.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,"Nidaam iftiin solar ah oo guri — nalal, dallac taleefan.",https://image.made-in-china.com/2f0j00YeLTZFHzAAVC/500W-Home-Lighting-Panel-Home-System-Solar-Power-System.webp,310.0-330.0,pieces,,2026-09-20,Solar Home Lighting System
GRS-SOL-20031,SOL,AS SOLAR,Portable 30W 40W Solar Lighting System for Home,AS-30W,Standard,—,,1195.2,11.95,1,mic,https://assolar.en.made-in-china.com/product/zNgQOpZoZLca/China-Hot-Sale-Portable-30W-40W-Solar-Lighting-System-for-Home.html,"Yangzhou Intelligence Solar Group Co., Ltd.",check,"Nidaam iftiin solar ah oo guri — nalal, dallac taleefan.",https://image.made-in-china.com/2f0j00iBHTKMPSkJhe/Hot-Sale-Portable-30W-40W-Solar-Lighting-System-for-Home.webp,162.0-166.0,pieces,"Certification: ISO, CE, RoHS Soncap Pvoc Coc Saso FCC | Application: Home, Industrial, Commercial | Output Voltage (V): AC 220V | Solar Panel (W): 40W (18V) | Battery(Ah): DC 12V18ah | Bulbs: 4PCS DC12V",2026-09-20,Solar Home Lighting System
GRS-SOL-20032,SOL,DRIVELONG,3600W Home Backup LiFePO4 Battery Solar Power System Portable Solar Generator,EP3600iL,Standard,—,,7776.0,40.0,10,mic,https://drivelong.en.made-in-china.com/product/tTmrdXcVAyhs/China-3600W-Home-Backup-LiFePO4-Battery-Solar-Power-System-Portable-Solar-Generator.html,"Suzhou Drivelong Intelligence Technology Co., Ltd.",check,"Kaydiye koronto la qaadi karo — taleefan, laptop, fan.",https://image.made-in-china.com/2f0j00UCzvfFrGqpbR/3600W-Home-Backup-LiFePO4-Battery-Solar-Power-System-Portable-Solar-Generator.webp,1050.0-1080.0,sets,"Weight: 40kg | Warranty: 5 Years | Charging Method: AC Wall Outlet, Solar, Wind Turbine, Car | Battery Extension: Yes Max. 172kwh | Fast Charging: Yes 1-2 Hrs Fully Charged | Certificates: CE RoHS IEC62619 Unb38.8 MSDS",2026-09-20,Portable Power Station
GRS-SOL-20033,SOL,DRIVELONG,High Safety Level 3600W Long-Life Outdoor Energy System Portable Power Station,EP3600iL,Standard,—,,7776.0,60.0,10,mic,https://drivelong.en.made-in-china.com/product/craRDHQdHMVe/China-High-Safety-Level-3600W-Long-Life-Outdoor-Energy-System-Portable-Power-Station.html,"Suzhou Drivelong Intelligence Technology Co., Ltd.",check,"Kaydiye koronto la qaadi karo — taleefan, laptop, fan.",https://image.made-in-china.com/2f0j00KZlBrWUFlCbh/High-Safety-Level-3600W-Long-Life-Outdoor-Energy-System-Portable-Power-Station.webp,750.0-1080.0,sets,"Weight: 40kg | Warranty: 5 Years | Charging Method: AC Wall Outlet, Solar, Wind Turbine, Car | Battery Extension: Yes Max. 109kwh | Fast Charging: Yes 1-2 Hrs Fully Charged | Certificates: CE RoHS IEC62619 Unb38.8 MSDS",2026-09-20,Portable Power Station
